,pdate,pdate 2,marka,cheader,cheader 2,comments
0,Jul 20,2017,Fiesta,Transmission Failed,"39,234 miles","['since', '2011', 'numerous', 'issue', 'vehicle', 'reached', '40000', 'mile', 'always', 'something', 'wrong', 'transmission', 'failure', 'jerking', 'shuddering', 'electrical', 'problem', 'steering', 'problem', 'also', 'engine', 'dy', 'driving', 'want', 'get', 'rid', 'carmax', 'told', 'vehicle', 'worthless', 'condition', 'car', 'nightmare']"
1,Mar 18,2017,Fiesta,Transmission Failed,"50,013 miles","['car', 'year', 'driven', '21', 'day', 'car', 'currently', 'ford', 'dealership', 'replaced', 'transmission', 'clutch', 'transmission', 'modulator', 'minor', 'thing', 'called', 'come', 'get', 'car', 'fixed', 'drive', 'pay', 'repair', 'bill', 'get', 'keyhowever', 'didnt', 'make', 'lot', 'heard', 'horrible', 'grinding', 'noise', 'took', 'key', 'right', 'back', 'inside', 'told', 'fixed', 'something', 'rightkeep', 'mind', 'never', 'left', 'lot', 'car', 'car', 'another', '3', 'month', 'finally', 'call', 'tell', 'oh', 'car', 'need', 'whole', 'new', 'transmissionanother', '3000', 'year', 'make', 'model', 'car', 'extended', 'warranty', '100000', 'milesthis', 'car', '50000', 'itthey', 'telling', 'warranty', 'wont', 'cover', 'new', 'transmission', 'contact', 'turn', 'unjust', 'unfair']"
2,Jan 06,2017,Fiesta,Transmission Failed,"37,000 miles","['never', 'purchasing', 'ford', 'vehicle', 'item', 'ever', 'received', 'absolute', 'worst', 'customer', 'service', 'called', 'explained', '2011', 'ford', 'fiesta', '37k', 'mile', 'shop', 'second', 'time', 'transmission', 'issue', 'needed', 'new', 'transmission', 'requested', 'assist', 'said', '3', 'month', 'warranty', 'couldnt', 'help', 'sold', 'product', 'know', 'transmission', 'issue', 'take', 'responsibility', 'lemon', 'car', 'give', 'customer', 'service', 'deserve', 'called', 'multiple', 'time', 'asking', 'call', 'back', 'one', 'responds', 'afraid', 'take', 'court', 'keep', 'reaching', 'resolved']"
3,Oct 20,2016,Fiesta,Transmission Failed,"106,000 miles","['reading', 'comment', 'posted', 'another', '2011', 'ford', 'fiesta', 'owner', 'similar', 'problem', 'reading', 'comment', 'agree', 'always', 'quality', 'vehicle', 'navigator', 'mustang', 'f150', 'old', 'f100', 'vehicle', 'killed', 'ford', 'throttle', 'body', 'replaced', 'around', '30k', 'alternator', 'around', '40k', 'fan', 'actually', 'caught', 'fire', 'dealership', 'diagnosing', 'ac', 'took', '2', 'week', 'fix', '55100k', 'vehicle', 'issue', 'happy', 'october', 'transmission', 'go', 'outi', 'paid', 'pulled', 'aamco', 'seal', 'interior', 'shift', 'linkage', 'busted', 'slave', 'cylinder', 'throw', 'bearingpart', 'slave', 'cylinder', 'clutch', 'kit', 'replaced', 'completed', 'vehicle', 'still', 'doesnt', 'go', 'gear', 'im', 'need', 'rebuild', 'synchronizer', 'needing', 'replacement', 'last', 'ford', 'family', 'ever', 'purchase']"
4,Mar 14,2015,Fiesta SE 4 cyl,Transmission Failed,"42,000 miles","['bought', 'fiesta', 'february', '2015', 'many', 'problem', 'since', 'strongly', 'believe', 'dealership', 'knew', 'problem', 'car', 'selling', 'u', 'go', 'drive', 'grinding', '1st', '2nd', 'well', 'grinding', '2nd', '3rd', 'sometimes', 'little', 'power', 'transmission', 'recall', 'came', 'car', 'long', 'bought', 'never', 'performed', 'dealership', 'told', 'u', 'call', 'get', 'part', 'car', 'drive', 'differently', 'well', 'obviously', 'true', 'fiance', 'daily', 'driver', 'troubled', 'transmission', 'go', 'totally', 'screwed', 'barely', 'afford', 'payment', 'let', 'alone', 'new', 'transmission', 'please', 'someone', 'help', 'u', 'find', 'way', 'get', 'crooked', 'dealership', 'honor', 'recall', 'warranty', 'still', 'warranty', 'first', 'brought', 'attention', 'trying', 'get', 'along', 'world', '3', 'kid', 'without', 'car', 'screwed', 'deserve', 'taken', 'run', 'around']"
5,Nov 05,2016,Fiesta SES,Transmission Failed,"100,000 miles","['car', 'two', 'year', 'car', 'simply', 'quit', 'covered', 'since', 'transmission', 'issue', '2011', 'ford', 'fiesta', 'reached', '100000km', 'replace', 'transmission', 'expense', 'would', 'give', 'car', 'courtesy', 'car', 'would', 'even', 'offer', 'shuttle', 'drive', 'work', 'walk', '2km', 'bus', 'stop', 'location', 'five', 'minute', 'drive', 'dealershipthey', 'would', 'guarantee', 'work', 'even', 'though', 'know', 'car', 'transmission', 'problem', 'may', 'done', 'consumer', 'ford', 'produce', 'bleed', 'dry', 'ford', 'fully', 'aware', 'offering', 'public', 'faulty', 'product', 'product', 'one', 'day', 'cause', 'someone', 'loose', 'life', 'driving', 'something', 'jerk', 'coast', 'delay', 'shifting', 'ford', 'advertises', 'product', 'automatic', 'repeatedly', 'requiring', 'replacement', 'clutchin', '35', 'year', 'driven', 'car', 'never', 'replace', 'clutch', 'automatic', 'car', 'cant', 'empathize', 'enough', 'want', 'reliable', 'car', 'purchase', 'ford', 'consumer', 'bleed', 'financially', 'product', 'pulling', 'recalling', 'someone', 'dy', 'mistake', 'friend', 'sad', 'day', 'canadian', 'u', 'consumer', 'purchase', 'ford', 'product']"
6,Dec 26,2013,Fiesta,Transmission Failed,"114,905 miles","['huge', 'safety', 'concern', 'especially', 'freeway', 'car', 'brought', '122613', 'ready', '11514']"
7,Aug 15,2012,Fiesta SE 4,Transmission Failed,"5,672 miles","['winnipeg', 'entering', 'ramp', 'driving', 'close', 'truck', 'front', 'truck', 'suddenly', 'hit', 'brake', 'truck', 'move', 'ahead', 'step', 'gas', 'nothing', 'happens', 'put', 'car', 'reverse', 'nothing', 'happens', 'put', 'car', 'park', 'cant', 'turn', 'ignition', 'car', 'behind', 'blowing', 'horn', 'driver', 'pretty', 'angry', 'discover', 'hit', 'brake', 'put', 'transmission', 'park', 'shut', 'engine', 'restartcar', 'move', 'forward', 'put', 'drive', 'scary', 'situation']"
8,Jan 08,2016,Fiesta SE 4,Transmission Failed,"127,047 miles","['purchased', 'car', 'good', 'faith', 'ford', 'knowing', 'drive', '100', 'mile', 'daily', 'need', 'reliable', 'transportation', 'clutch', 'tcm', 'replace', 'couple', 'time', 'part', 'failed', 'yet', 'ford', 'aware', 'design', 'flaw', 'extended', 'warranty', '120000', 'mile', 'since', 'car', 'warranty', 'since', 'recall', 'part', 'needed', 'sol', 'still', 'owe', '10000', 'car', 'since', 'put', '120000', 'mile', 'car', 'repair', 'okay', 'fine', 'whateversince', 'part', 'retooled', 'wait', 'repair', 'told', 'could', 'take', 'six', 'month', 'year', 'longer', 'mean', 'time', 'still', 'car', 'payment', 'still', 'pay', 'insurance', 'get', 'look', 'pretty', 'little', 'green', 'car', 'sitting', 'yard', 'every', 'day', 'rely', 'people', 'get', 'work', 'easy', 'feat', '48', 'mile', 'work', 'happy', 'fordother', 'transmission', 'issue', 'happy', 'car', 'gas', 'mileage', 'great', 'lucky', 'point', 'ford', 'gave', 'loaner', 'warranty', 'every', 'needed', 'repair']"
9,Nov 29,2015,Fiesta SE 4,Transmission Failed,"61,400 miles","['purchased', '2011', 'ford', 'fiesta', 'october', '2015', 'neighbor', 'kept', 'meticulous', 'care', 'service', 'record', 'vehicle', 'vehicle', 'always', 'dealer', 'serviced', 'transmission', 'service', 'bulletin', 'within', '60', 'day', 'owning', 'vehicle', 'transmission', 'failed', 'car', 'backed', 'garage', 'upon', 'shifting', 'drive', 'would', 'go', 'gear', 'engine', 'would', 'rev', 'car', 'start', 'fine', 'go', 'gearwe', 'car', 'immediately', 'towed', 'local', 'dealer', 'dealer', 'replaced', 'transmission', 'control', 'module', 'fix', 'problem', 'dealer', 'report', 'need', 'new', 'transmission', '6500', 'tax', 'told', 'dealer', 'ford', 'corporate', '1400', 'mile', 'warranty', '61400', 'mile', 'financial', 'assistance', 'repair', 'talked', 'ford', 'regional', 'service', 'manager', 'florida', 'repeat', 'denial', 'assistance', 'first', 'ford', 'ever', 'owned', 'communication', 'ford', 'make', 'clear', 'u', 'ford', 'stand', 'behind', 'product', 'transmission', 'many', 'service', 'bulletin', 'complaint', 'even', 'able', 'afford', 'new', 'transmission', 'one', 'fails', 'soon', 'going', 'past', 'much', 'limited', 'warranty', 'fewer', 'year', 'fewer', 'mile', 'hopeful', 'ford', 'would', 'want', 'resolve', 'problem', 'u', 'ford', 'also', 'stake', 'issue', 'regard', 'product', 'quality', 'treat', 'customer', 'unfortunately', 'theyâve', 'made', 'clear', 'discouraged', 'anyone', 'ford', 'read', 'help', 'u', 'would', 'love', 'hear']"
